#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
Pant_gen.fna	ctg.s1.000000F.arrow_pilon	303597	304225	CRP	5-633/634	===============	0/0	99.21	84.102	card	AP009048:4153663-4154296
Pant_gen.fna	ctg.s1.000000F.arrow_pilon	565935	566712	bacA	17-797/823	========/======	1/3	94.53	75.928	card	U00096:3203309-3204131
Pant_gen.fna	ctg.s1.000000F.arrow_pilon	787622	788123	mdtB	2556-3057/3124	......../...===	4/6	15.97	77.228	card	U00096:2155262-2158385
Pant_gen.fna	ctg.s1.000000F.arrow_pilon	836216	838831	aminocoumarin_resistant_alaS	1-2616/2631	========/======	14/18	99.09	77.486	card	NC_000913.3:2819380-2822011
Pant_gen.fna	ctg.s1.000000F.arrow_pilon	874282	875815	emrB	10-1537/1540	========/======	6/12	99.03	79.571	card	U00096:2812615-2814154
Pant_gen.fna	ctg.s1.000000F.arrow_pilon	877185	877687	emrR	1-503/531	========/======	2/4	94.35	76.832	card	NC_000913.3:2810769-2811300
Pant_gen.fna	ctg.s1.000000F.arrow_pilon	1368939	1369606	baeR	31-704/724	========/======	6/18	91.44	75.147	card	NC_007779:2166412-2167135
Pant_gen.fna	ctg.s1.000000F.arrow_pilon	1375557	1378603	mdtB	28-3074/3124	========/======	9/14	97.31	77.079	card	U00096:2155262-2158385
Pant_gen.fna	ctg.s1.000000F.arrow_pilon	1778340	1778742	H-NS	13-415/415	========/======	2/2	96.87	75.248	card	NC_002695:1737553-1737967
Pant_gen.fna	ctg.s1.000000F.arrow_pilon	1817348	1818313	aminocoumarin_resistant_cysB	1-966/975	========/======	2/4	98.87	79.442	card	NC_000913.3:1333854-1334829
Pant_gen.fna	ctg.s1.000000F.arrow_pilon	2126636	2129756	oqxB	1-3121/3153	===============	0/0	98.99	83.371	card	NC_010378.1:47850-51003
Pant_gen.fna	ctg.s1.000000F.arrow_pilon	2422399	2425802	mfd	1-3404/3447	========/======	18/26	98.38	77.349	card	NC_000913.3:1170517-1173964
Pant_gen.fna	ctg.s1.000000F.arrow_pilon	2637662	2639410	msbA	1-1749/1749	========/======	2/6	99.83	77.511	card	NC_000913.3:966620-968369
Pant_gen.fna	ctg.s1.000000F.arrow_pilon	2994628	2997726	acrB	1-3099/3148	========/======	10/16	98.19	80.013	card	DQ679966:1515-4662
Pant_gen.fna	ctg.s1.000000F.arrow_pilon	3430979	3432415	YojI	204-1643/1644	.=======/======	6/11	87.17	77.078	card	NC_000913.3:1-1644
Pant_gen.fna	ctg.s1.000000F.arrow_pilon	3959968	3960667	cpxR	1-700/700	========/======	2/2	99.86	80.314	card	NC_002695:4904931-4905630
Pant_gen.fna	ctg.s1.000000F.arrow_pilon	3960663	3962024	cpxA	14-1375/1375	========/======	2/2	98.98	79.310	card	NC_002695:4903561-4904935
